Example site  01.01.02 - 31.12.02  ! the first line might contain site name and measurement period, etc.
     65.1   59.9    50.0        ! east-west and north-south position, measurement height.
      12    1.00    0.00        ! number of sectors ....
            3.55    4.97    3.74    4.04    6.70   14.74   17.77   12.67    9.32    9.31    7.38    5.81
   1.00    31.99   22.01   32.63   15.43   16.80    5.38    7.11    7.28   11.49    9.68   18.86   21.01
   2.00   101.37   67.74   56.22   51.83   27.75   19.99   24.21   26.89   40.43   33.86   59.75   76.07
   3.00   180.79  109.88   81.04   66.11   37.48   42.89   41.40   49.91   59.91   43.84   91.14  140.56
   4.00   180.49  134.40   99.31   76.69   41.31   57.08   52.69   59.60   58.07   78.50   94.18  140.38
   5.00   142.89  121.50  106.15   94.15   40.51   62.52   58.46   73.26   69.99   65.30  102.57  121.82
   6.00   113.11   85.80  130.41  105.25   43.86   65.20   67.17   72.58   70.67   81.03  129.91   99.96
   7.00    64.67   94.62  117.28   88.59   57.73   59.62   79.85   81.60   86.37   92.73  104.88   78.46
   8.00    57.76   85.80   92.17   90.18   63.31   73.82   91.32   87.67   85.68   95.94   79.86   54.02
   9.00    27.67   79.13   82.75   77.49   64.43   69.47   88.80   95.68   96.33   96.75   77.11   40.61
  10.00    20.46   72.25   63.92   69.55   69.69   80.05   90.00   84.89   84.07   83.21   67.13   35.10
  11.00     6.02   54.83   44.23   61.62   77.83   86.57   87.90   71.49   72.51   51.87   43.40   43.00
  12.00    12.63   32.47   25.40   51.30   77.51   82.15   72.04   59.18   59.91   49.92   39.93   31.97
  13.00    14.14   26.02   23.40   45.49   73.20   73.17   61.22   57.24   49.25   40.40   23.73   31.24
  14.00    16.54   10.54   18.26   54.21   80.54   56.79   46.38   50.50   51.77   37.30   19.10   22.97
  15.00     9.02    0.86    5.71   23.01   73.52   42.74   38.21   35.41   35.62   33.51   17.36   23.34
  16.00     4.21    0.86    5.71   15.07   53.75   38.03   26.68   28.41   25.66   32.02   12.15   14.33
  17.00    11.43    0.86    5.71   11.11   44.18   23.18   18.93   21.67   17.64   21.58   12.59   10.84
  18.00     3.61    0.43    6.28    1.59   27.43   19.70   17.30   14.67   13.40   19.74    4.63    8.82
  19.00     1.20    0.00    0.57    0.79   16.75   13.76   11.42    8.09    5.96   12.39    1.74    4.04
  20.00     0.00    0.00    2.28    0.53    5.42    9.42    6.25    4.55    2.52    8.26    0.00    1.10
  21.00     0.00    0.00    0.57    0.00    3.83    8.77    4.03    4.05    1.60    5.28    0.00    0.37
  22.00     0.00    0.00    0.00    0.00    1.91    4.20    1.44    2.53    1.15    3.79    0.00    0.00
  23.00     0.00    0.00    0.00    0.00    0.64    3.11    2.28    0.84    0.00    2.18    0.00    0.00
  24.00     0.00    0.00    0.00    0.00    0.32    1.96    1.80    0.67    0.00    0.69    0.00    0.00
  25.00     0.00    0.00    0.00    0.00    0.00    0.29    1.86    0.51    0.00    0.00    0.00    0.00
  26.00     0.00    0.00    0.00    0.00    0.32    0.14    0.90    0.51    0.00    0.23    0.00    0.00
  27.00     0.00    0.00    0.00    0.00    0.00    0.00    0.36    0.34    0.00    0.00    0.00    0.00
  28.00     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
  29.00     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
  30.00     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
 
